id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1y_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_30d_in_currency
pokedx,pdx,PokeDX,https://assets.coingecko.com/coins/images/19075/large/200x200_%2834%29.png?1634289460,0.004266585,0.0,,127998.0,21.21,,,,,,,0.0,30000000.0,30000000.0,0.312338,-98.63398,2021-11-02T22:36:16.210Z,0.00371759,14.76737,2023-06-14T21:03:04.990Z,,2023-07-28T19:24:31.788Z,-72.69269053955962,,-1.919002966067672
poken,pkn,Poken,https://assets.coingecko.com/coins/images/21574/large/G10VNBAR_400x400.jpg?1639490463,0.000974336,0.0,,4894966.0,36197.0,0.00098638,0.00097488,-8.448083870629e-06,-0.85961,0.0,0.0,0.0,5000000000.0,5000000000.0,0.077479,-98.74189,2021-12-16T01:41:31.857Z,0.00075489,29.12677,2023-06-14T20:45:17.874Z,,2023-08-16T20:25:42.665Z,-56.32727438945423,-0.8596069956204732,-16.701801770250132
pokeplay-token,ppc,PokePlay Token,https://assets.coingecko.com/coins/images/28398/large/PokePlay-LOGO_200x200.png?1670291045,0.67596601,0.0,,67596601014.0,111.23,,,,,,,0.0,100000000000.0,100000000000.0,2.9,-76.72116,2022-12-06T01:49:03.155Z,0.422401,60.0294,2023-05-14T23:33:09.818Z,,2023-05-18T13:00:35.086Z,,,0.0
pokerfi,pokerfi,PokerFi,https://assets.coingecko.com/coins/images/18907/large/oy6nhrI0_400x400.jpg?1633910069,0.000210624,0.0,,2057251.0,10407.53,,,,,,,0.0,9767403373.0,,0.00812198,-97.40674,2021-10-11T19:37:44.755Z,5.311e-05,296.60528,2022-12-17T02:29:00.310Z,,2023-08-03T11:38:47.329Z,91.45936606642952,,10.794698430888364
pokmon,pokmon,Pokmon,https://assets.coingecko.com/coins/images/30329/large/pokmon.jpg?1684136030,1.9e-08,0.0,,18908.44,24.09,,,,,,,0.0,1000000000000.0,1000000000000.0,1.15e-06,-98.34873,2023-05-19T18:04:23.307Z,1.6972e-08,11.40993,2023-06-02T21:19:33.945Z,,2023-08-09T20:04:21.382Z,,,-0.6772882446461194
polar,polar,POLAR,https://assets.coingecko.com/coins/images/22682/large/lZqXDw8a_400x400.png?1649143703,2.6935e-05,0.0,,26.94,20.77,,,,,,,0.0,1000000.0,1000000.0,9.2,-99.99971,2022-01-21T19:09:13.378Z,2.467e-05,9.19609,2023-06-10T07:06:46.940Z,,2023-08-13T10:03:12.634Z,-99.7559161751504,,-19.364827515361615
baby-richard-heart,$brich,Baby Richard Heart,https://assets.coingecko.com/coins/images/30499/large/2ec7c2d7-0d24-4615-8f38-b7d93159e697.jpeg?1684732788,7.409e-06,0.0,,,4555.93,,,,,,,0.0,5000000000.0,5000000000.0,9.064e-05,-91.8254,2023-05-22T18:05:02.943Z,7.36e-06,0.66095,2023-06-18T12:30:02.160Z,,2023-06-18T19:30:01.643Z,,,0.0
polar-token,polar,Polaris Finance Polar,https://assets.coingecko.com/coins/images/23672/large/polar-200px.png?1644994537,0.113261783,0.0,,1712.33,31.86,0.116589,0.111808,-0.001428856803284362,-1.24584,0.0,0.0,0.0,15001.0,,219.26,-99.94834,2022-02-18T13:22:47.320Z,0.109593,3.34775,2023-07-12T10:00:18.255Z,,2023-08-16T20:23:28.465Z,-94.63661907152884,-1.2458355849435372,-14.64168067477737
babyrabbit,babyrabbit,Babyrabbit,https://assets.coingecko.com/coins/images/28537/large/Babyrabbit.jpeg?1671511436,2e-09,0.0,,2422959.0,25951.0,,,,,,,0.0,1000000000000000.0,1000000000000000.0,4.354e-09,-44.34899,2023-05-01T05:08:26.036Z,9.88221e-10,145.18392,2023-01-30T10:03:08.050Z,,2023-05-18T13:00:05.390Z,,,-0.5094225081680521
pond-coin,pndc,PondCoin,https://assets.coingecko.com/coins/images/31215/large/pond-coin.jpeg?1691468704,1.154e-06,0.0,,,2345090.0,1.6e-06,1.07e-06,-3.23344643422e-07,-21.88818,0.0,0.0,0.0,,,2.88e-06,-60.83221,2023-08-10T17:15:30.558Z,1.03e-06,9.5489,2023-08-15T01:55:29.437Z,,2023-08-16T20:25:43.939Z,,-21.888182097808368,
